ID,Fuel_Type,Monthly_Distance_Km,Body_Type,Sex,Diet,Social_Activity,Transport,Vehicle_Type,Air_Travel,Waste_Bag_Size,Waste_Bag_Weekly_Count,Energy_Efficiency,TV_PC_Usage,New_Clothes_Monthly,Transport_Emissions,Energy_Emissions,Diet_Emissions,Waste_Emissions,Total_Emissions
4122,Electric,506,Normal,Female,Omnivore,Often,Public,Diesel,Rarely,Small,4,Yes,8,15,60.72,168,225,1.6,455.32
4123,CNG,1404,Normal,Male,Vegan,Never,Public,Electric,Very Frequently,Large,4,Yes,4,16,189.54,84,63,1.6,338.14
4124,Diesel,2528,Underweight,Female,Omnivore,Never,Public,Diesel,Never,Medium,1,No,23,16,451.6693333,483,225,0.4,1160.069333
4125,CNG,1115,Overweight,Female,Vegetarian,Often,Walk/Bicycle,CNG,Frequently,Extra Large,1,No,19,11,150.525,399,108,0.4,657.925
4126,Electric,2373,Obese,Male,Vegetarian,Never,Public,CNG,Never,Extra Large,8,No,10,22,284.76,210,108,3.2,605.96
4127,Diesel,1269,Normal,Male,Omnivore,Often,Private,None,Rarely,Medium,2,No,19,6,226.728,399,225,0.8,851.528
4128,Electric,2789,Obese,Male,Omnivore,No,Public,Electric,Very Frequently,Small,5,Yes,13,21,334.68,273,225,2,834.68
4129,CNG,2066,Obese,Male,Vegetarian,Often,Walk/Bicycle,Petrol,Never,Small,3,No,12,21,278.91,252,108,1.2,640.11
4130,Electric,1985,Overweight,Male,Pescatarian,Often,Walk/Bicycle,Diesel,Rarely,Extra Large,3,No,2,20,238.2,42,162,1.2,443.4
4131,Electric,1940,Obese,Male,Vegan,No,Walk/Bicycle,Electric,Rarely,Extra Large,4,No,1,27,232.8,21,63,1.6,318.4
4132,Petrol,1265,Obese,Female,Vegan,Never,Walk/Bicycle,Petrol,Very Frequently,Small,4,No,15,5,243.5125,315,63,1.6,623.1125
4133,CNG,883,Underweight,Male,Pescatarian,Often,Private,Electric,Rarely,Large,6,No,10,29,119.205,210,162,2.4,493.605
4134,CNG,2938,Obese,Male,Vegan,Often,Walk/Bicycle,Diesel,Never,Small,6,Yes,2,1,396.63,42,63,2.4,504.03
4135,Electric,1187,Overweight,Male,Omnivore,Never,Public,Diesel,Frequently,Large,0,Yes,14,4,142.44,294,225,0,661.44
4136,Petrol,1649,Obese,Male,Omnivore,Often,Private,None,Very Frequently,Small,5,No,2,1,317.4325,42,225,2,586.4325
4137,CNG,546,Overweight,Female,Omnivore,No,Walk/Bicycle,CNG,Rarely,Extra Large,3,No,18,29,73.71,378,225,1.2,677.91
4138,Diesel,2472,Normal,Female,Vegan,Often,Walk/Bicycle,CNG,Never,Small,1,No,3,2,441.664,63,63,0.4,568.064
4139,Electric,963,Obese,Female,Pescatarian,Never,Private,CNG,Very Frequently,Small,5,No,20,4,115.56,420,162,2,699.56
4140,CNG,2372,Obese,Male,Omnivore,Never,Public,None,Rarely,Medium,6,Yes,21,16,320.22,441,225,2.4,988.62
4141,Diesel,622,Obese,Male,Pescatarian,Often,Private,CNG,Never,Small,1,Yes,4,26,111.1306667,84,162,0.4,357.5306667
4142,CNG,2681,Normal,Female,Vegetarian,Never,Public,Electric,Rarely,Small,1,Yes,8,18,361.935,168,108,0.4,638.335
4143,Diesel,2142,Underweight,Female,Vegetarian,Never,Public,CNG,Never,Small,9,No,6,9,382.704,126,108,3.6,620.304
4144,Electric,1340,Obese,Male,Vegetarian,Often,Walk/Bicycle,CNG,Rarely,Extra Large,6,Yes,22,11,160.8,462,108,2.4,733.2
4145,CNG,2085,Overweight,Male,Vegan,Often,Private,Diesel,Very Frequently,Small,8,No,22,21,281.475,462,63,3.2,809.675
4146,CNG,2303,Underweight,Male,Vegan,Never,Private,None,Very Frequently,Large,2,Yes,12,17,310.905,252,63,0.8,626.705
4147,Petrol,522,Underweight,Male,Omnivore,Often,Walk/Bicycle,None,Very Frequently,Large,2,No,22,18,100.485,462,225,0.8,788.285
4148,Electric,1065,Underweight,Male,Vegetarian,No,Walk/Bicycle,CNG,Rarely,Small,7,Yes,17,12,127.8,357,108,2.8,595.6
4149,Diesel,2409,Obese,Female,Pescatarian,Often,Public,Petrol,Rarely,Extra Large,1,No,23,24,430.408,483,162,0.4,1075.808
4150,CNG,1464,Normal,Male,Vegan,Never,Walk/Bicycle,Diesel,Very Frequently,Large,8,No,14,7,197.64,294,63,3.2,557.84
4151,CNG,2782,Normal,Female,Pescatarian,No,Private,CNG,Very Frequently,Small,6,Yes,11,2,375.57,231,162,2.4,770.97
4152,Diesel,1495,Obese,Male,Pescatarian,Never,Walk/Bicycle,Petrol,Frequently,Small,7,No,9,22,267.1066667,189,162,2.8,620.9066667
4153,Electric,1687,Overweight,Female,Omnivore,Never,Walk/Bicycle,Electric,Never,Large,8,No,16,11,202.44,336,225,3.2,766.64
4154,Petrol,2294,Overweight,Female,Omnivore,No,Walk/Bicycle,Diesel,Frequently,Extra Large,2,No,5,29,441.595,105,225,0.8,772.395
4155,Petrol,1325,Overweight,Female,Pescatarian,Often,Walk/Bicycle,None,Never,Extra Large,5,Yes,10,3,255.0625,210,162,2,629.0625
4156,CNG,715,Obese,Male,Pescatarian,Never,Walk/Bicycle,Petrol,Rarely,Large,7,Yes,2,29,96.525,42,162,2.8,303.325
4157,Diesel,1156,Normal,Male,Pescatarian,Often,Public,CNG,Never,Small,0,Yes,5,13,206.5386667,105,162,0,473.5386667
4158,CNG,1613,Obese,Male,Pescatarian,Often,Walk/Bicycle,Petrol,Never,Extra Large,5,No,21,6,217.755,441,162,2,822.755
4159,Diesel,2487,Normal,Female,Vegetarian,No,Walk/Bicycle,None,Rarely,Medium,2,Yes,23,20,444.344,483,108,0.8,1036.144
4160,Petrol,810,Underweight,Female,Pescatarian,Never,Private,Electric,Rarely,Small,7,No,19,27,155.925,399,162,2.8,719.725
4161,Electric,1056,Obese,Male,Vegan,No,Walk/Bicycle,Petrol,Rarely,Extra Large,8,No,11,12,126.72,231,63,3.2,423.92
4162,Diesel,2804,Normal,Female,Omnivore,No,Private,CNG,Very Frequently,Small,4,Yes,2,11,500.9813333,42,225,1.6,769.5813333
4163,Petrol,2056,Underweight,Female,Vegan,Never,Private,Petrol,Very Frequently,Medium,1,Yes,1,14,395.78,21,63,0.4,480.18
4164,CNG,551,Underweight,Female,Omnivore,Never,Private,Electric,Never,Large,6,Yes,21,1,74.385,441,225,2.4,742.785
4165,Diesel,1861,Obese,Female,Omnivore,No,Private,Petrol,Rarely,Medium,5,Yes,2,21,332.4986667,42,225,2,601.4986667
4166,Electric,1694,Normal,Male,Omnivore,No,Public,Electric,Very Frequently,Small,5,No,12,0,203.28,252,225,2,682.28
4167,CNG,2148,Underweight,Female,Vegan,No,Public,Electric,Rarely,Large,0,No,19,5,289.98,399,63,0,751.98
4168,CNG,2847,Obese,Male,Omnivore,Never,Private,Diesel,Never,Medium,0,No,8,0,384.345,168,225,0,777.345
4169,Petrol,1171,Underweight,Female,Pescatarian,Never,Public,Diesel,Very Frequently,Extra Large,5,No,22,18,225.4175,462,162,2,851.4175
4170,Diesel,1277,Overweight,Female,Pescatarian,No,Public,CNG,Very Frequently,Medium,5,No,16,26,228.1573333,336,162,2,728.1573333
4171,CNG,1331,Obese,Male,Vegetarian,Never,Walk/Bicycle,CNG,Frequently,Small,3,No,13,9,179.685,273,108,1.2,561.885
4172,Electric,2779,Underweight,Female,Vegetarian,Never,Public,CNG,Never,Extra Large,7,Yes,19,22,333.48,399,108,2.8,843.28
4173,Diesel,2360,Obese,Male,Vegetarian,Never,Private,Electric,Very Frequently,Medium,8,No,7,13,421.6533333,147,108,3.2,679.8533333
4174,Electric,2029,Obese,Male,Pescatarian,Often,Private,Electric,Never,Small,5,No,3,1,243.48,63,162,2,470.48
4175,CNG,2575,Normal,Male,Vegan,Often,Private,Diesel,Never,Large,9,No,0,8,347.625,0,63,3.6,414.225
4176,Electric,2472,Normal,Male,Vegetarian,No,Private,Electric,Rarely,Medium,7,No,9,2,296.64,189,108,2.8,596.44
4177,Petrol,1574,Underweight,Male,Pescatarian,Often,Walk/Bicycle,Diesel,Never,Large,7,No,12,18,302.995,252,162,2.8,719.795
4178,Electric,2216,Obese,Male,Omnivore,No,Public,Petrol,Frequently,Extra Large,1,No,1,13,265.92,21,225,0.4,512.32
4179,Diesel,1783,Obese,Male,Vegan,No,Private,CNG,Very Frequently,Large,3,No,4,15,318.5626667,84,63,1.2,466.7626667
4180,Electric,1090,Overweight,Female,Vegan,Never,Walk/Bicycle,CNG,Never,Small,0,Yes,5,6,130.8,105,63,0,298.8
4181,Electric,2486,Obese,Male,Pescatarian,No,Private,None,Never,Extra Large,0,No,0,0,298.32,0,162,0,460.32
4182,Petrol,1501,Normal,Female,Pescatarian,No,Public,Diesel,Rarely,Medium,5,No,4,4,288.9425,84,162,2,536.9425
4183,Electric,2731,Obese,Female,Omnivore,No,Walk/Bicycle,None,Rarely,Large,6,No,23,25,327.72,483,225,2.4,1038.12
4184,Electric,1546,Normal,Female,Omnivore,No,Public,CNG,Frequently,Extra Large,4,No,14,2,185.52,294,225,1.6,706.12
4185,CNG,2676,Overweight,Male,Omnivore,Never,Walk/Bicycle,None,Never,Extra Large,7,Yes,7,16,361.26,147,225,2.8,736.06
4186,CNG,2838,Underweight,Male,Vegan,Never,Private,Petrol,Never,Medium,8,No,17,22,383.13,357,63,3.2,806.33
4187,Diesel,2355,Normal,Female,Vegan,No,Private,None,Never,Medium,3,No,17,25,420.76,357,63,1.2,841.96
4188,CNG,1000,Underweight,Male,Vegetarian,Often,Public,Petrol,Never,Medium,0,No,3,13,135,63,108,0,306
4189,CNG,2733,Underweight,Female,Vegetarian,Often,Public,CNG,Very Frequently,Medium,5,Yes,19,15,368.955,399,108,2,877.955
4190,CNG,978,Underweight,Female,Vegetarian,No,Walk/Bicycle,Electric,Never,Large,0,No,19,6,132.03,399,108,0,639.03
4191,CNG,2094,Underweight,Female,Vegan,Never,Public,Diesel,Never,Extra Large,1,No,6,8,282.69,126,63,0.4,472.09
4192,Petrol,1012,Normal,Male,Omnivore,No,Public,None,Very Frequently,Medium,3,No,7,29,194.81,147,225,1.2,568.01
4193,CNG,2832,Overweight,Female,Vegetarian,No,Private,Petrol,Rarely,Extra Large,3,No,23,6,382.32,483,108,1.2,974.52
4194,Petrol,1100,Obese,Male,Omnivore,Never,Private,CNG,Frequently,Extra Large,5,No,19,14,211.75,399,225,2,837.75
4195,Petrol,1940,Normal,Female,Omnivore,Often,Private,CNG,Never,Small,7,No,12,28,373.45,252,225,2.8,853.25
4196,CNG,1623,Overweight,Male,Omnivore,No,Private,Electric,Very Frequently,Small,2,Yes,3,29,219.105,63,225,0.8,507.905
4197,Electric,688,Obese,Female,Vegetarian,Never,Private,CNG,Never,Medium,5,Yes,21,19,82.56,441,108,2,633.56
4198,Petrol,1488,Underweight,Male,Vegetarian,Never,Private,CNG,Rarely,Medium,2,Yes,20,2,286.44,420,108,0.8,815.24
4199,Electric,2381,Obese,Female,Omnivore,No,Private,Electric,Very Frequently,Small,1,No,17,21,285.72,357,225,0.4,868.12
4200,Electric,887,Obese,Male,Vegetarian,Never,Walk/Bicycle,CNG,Very Frequently,Extra Large,3,Yes,12,15,106.44,252,108,1.2,467.64
4201,CNG,2788,Overweight,Male,Pescatarian,No,Private,Petrol,Very Frequently,Medium,3,Yes,13,21,376.38,273,162,1.2,812.58
4202,Diesel,2305,Obese,Male,Vegetarian,Often,Private,None,Never,Large,1,No,8,17,411.8266667,168,108,0.4,688.2266667
4203,CNG,2533,Underweight,Female,Omnivore,No,Private,None,Rarely,Medium,2,No,11,6,341.955,231,225,0.8,798.755
4204,Diesel,2254,Normal,Female,Omnivore,Often,Private,Petrol,Frequently,Medium,8,No,8,16,402.7146667,168,225,3.2,798.9146667
4205,Diesel,2964,Normal,Female,Vegan,Never,Private,None,Very Frequently,Large,9,No,0,24,529.568,0,63,3.6,596.168
4206,CNG,2723,Overweight,Male,Vegan,No,Public,CNG,Never,Medium,8,No,8,17,367.605,168,63,3.2,601.805
4207,CNG,886,Underweight,Male,Omnivore,Never,Public,None,Frequently,Extra Large,9,Yes,6,2,119.61,126,225,3.6,474.21
4208,Diesel,1994,Underweight,Female,Pescatarian,No,Private,None,Very Frequently,Large,6,No,0,21,356.2613333,0,162,2.4,520.6613333
4209,CNG,1352,Obese,Female,Vegan,Never,Private,CNG,Never,Large,1,No,1,10,182.52,21,63,0.4,266.92
4210,Diesel,951,Overweight,Male,Omnivore,Often,Private,None,Frequently,Small,4,No,17,22,169.912,357,225,1.6,753.512
4211,Electric,2824,Underweight,Female,Vegan,No,Walk/Bicycle,CNG,Frequently,Extra Large,7,Yes,7,13,338.88,147,63,2.8,551.68
4212,CNG,2258,Underweight,Male,Vegan,Never,Private,Electric,Very Frequently,Small,0,No,0,16,304.83,0,63,0,367.83
4213,Electric,712,Underweight,Male,Omnivore,No,Walk/Bicycle,Electric,Never,Extra Large,0,No,2,18,85.44,42,225,0,352.44
4214,Petrol,540,Normal,Male,Vegetarian,No,Walk/Bicycle,None,Frequently,Medium,5,No,0,21,103.95,0,108,2,213.95
4215,Electric,1645,Normal,Female,Pescatarian,Often,Private,Electric,Rarely,Small,6,No,20,19,197.4,420,162,2.4,781.8
4216,Electric,2841,Normal,Male,Vegetarian,Never,Public,None,Rarely,Medium,6,Yes,19,4,340.92,399,108,2.4,850.32
4217,Diesel,1099,Obese,Female,Omnivore,No,Private,Electric,Frequently,Medium,2,No,2,28,196.3546667,42,225,0.8,464.1546667
4218,Electric,2524,Obese,Male,Omnivore,No,Private,None,Very Frequently,Small,9,Yes,7,27,302.88,147,225,3.6,678.48
4219,CNG,2530,Obese,Female,Pescatarian,No,Public,Diesel,Very Frequently,Small,3,No,11,2,341.55,231,162,1.2,735.75
4220,Diesel,2282,Underweight,Female,Omnivore,No,Public,Petrol,Very Frequently,Medium,8,Yes,6,15,407.7173333,126,225,3.2,761.9173333
4221,Petrol,2351,Normal,Male,Vegan,No,Private,Electric,Frequently,Medium,9,Yes,19,29,452.5675,399,63,3.6,918.1675
4222,CNG,2998,Underweight,Male,Pescatarian,Never,Private,CNG,Very Frequently,Extra Large,3,No,0,23,404.73,0,162,1.2,567.93
4223,Petrol,2279,Underweight,Male,Vegetarian,No,Walk/Bicycle,Petrol,Very Frequently,Medium,4,Yes,22,0,438.7075,462,108,1.6,1010.3075
4224,Electric,2881,Overweight,Male,Pescatarian,No,Public,None,Rarely,Large,5,Yes,2,10,345.72,42,162,2,551.72
4225,CNG,2404,Underweight,Female,Vegetarian,No,Walk/Bicycle,Petrol,Never,Medium,6,No,20,9,324.54,420,108,2.4,854.94
4226,CNG,2591,Obese,Female,Omnivore,Never,Walk/Bicycle,CNG,Rarely,Medium,4,Yes,11,6,349.785,231,225,1.6,807.385
4227,Petrol,643,Normal,Female,Vegetarian,No,Walk/Bicycle,CNG,Frequently,Medium,6,No,7,15,123.7775,147,108,2.4,381.1775
4228,CNG,832,Normal,Female,Vegetarian,No,Walk/Bicycle,None,Rarely,Small,1,Yes,8,1,112.32,168,108,0.4,388.72
4229,CNG,1497,Underweight,Female,Vegetarian,Often,Public,Electric,Never,Small,6,Yes,14,7,202.095,294,108,2.4,606.495
4230,CNG,1919,Obese,Male,Pescatarian,Often,Public,Electric,Rarely,Large,4,No,10,14,259.065,210,162,1.6,632.665
4231,Electric,554,Obese,Male,Vegan,No,Public,Diesel,Very Frequently,Medium,9,Yes,22,15,66.48,462,63,3.6,595.08
4232,Petrol,1830,Obese,Female,Vegetarian,No,Private,CNG,Never,Extra Large,4,No,5,2,352.275,105,108,1.6,566.875
4233,CNG,1946,Normal,Male,Pescatarian,Often,Walk/Bicycle,Diesel,Frequently,Extra Large,5,No,4,19,262.71,84,162,2,510.71
4234,Diesel,1940,Obese,Male,Pescatarian,Never,Private,CNG,Rarely,Medium,8,No,4,1,346.6133333,84,162,3.2,595.8133333
4235,Diesel,2872,Obese,Male,Vegan,Never,Public,Diesel,Rarely,Medium,3,No,15,14,513.1306667,315,63,1.2,892.3306667
4236,Diesel,2233,Underweight,Male,Pescatarian,Often,Public,Electric,Very Frequently,Medium,4,Yes,14,13,398.9626667,294,162,1.6,856.5626667
4237,Diesel,2194,Overweight,Male,Omnivore,No,Private,CNG,Never,Medium,4,No,10,20,391.9946667,210,225,1.6,828.5946667
4238,Electric,579,Obese,Male,Omnivore,Often,Walk/Bicycle,Electric,Very Frequently,Medium,2,Yes,19,8,69.48,399,225,0.8,694.28
4239,CNG,1484,Underweight,Female,Omnivore,Never,Public,Petrol,Rarely,Small,2,Yes,22,3,200.34,462,225,0.8,888.14
4240,Petrol,1364,Underweight,Male,Vegan,Often,Walk/Bicycle,Electric,Rarely,Large,0,Yes,16,22,262.57,336,63,0,661.57
4241,CNG,2087,Obese,Male,Pescatarian,Never,Walk/Bicycle,CNG,Never,Small,3,Yes,18,7,281.745,378,162,1.2,822.945
4242,Electric,971,Overweight,Female,Omnivore,No,Public,Petrol,Rarely,Extra Large,8,Yes,21,9,116.52,441,225,3.2,785.72
4243,Diesel,2621,Normal,Female,Vegetarian,No,Private,Diesel,Never,Small,1,No,16,16,468.2853333,336,108,0.4,912.6853333
4244,Electric,2076,Overweight,Female,Pescatarian,No,Walk/Bicycle,None,Frequently,Small,9,Yes,14,5,249.12,294,162,3.6,708.72
4245,CNG,2002,Obese,Male,Omnivore,Never,Private,CNG,Rarely,Large,3,No,12,4,270.27,252,225,1.2,748.47
4246,Petrol,1088,Overweight,Female,Pescatarian,Often,Walk/Bicycle,None,Never,Extra Large,8,No,22,9,209.44,462,162,3.2,836.64
4247,Electric,1910,Underweight,Male,Omnivore,No,Walk/Bicycle,None,Never,Extra Large,8,No,17,25,229.2,357,225,3.2,814.4
4248,Petrol,2405,Underweight,Female,Vegetarian,Never,Public,Petrol,Very Frequently,Medium,7,No,22,16,462.9625,462,108,2.8,1035.7625
4249,Electric,1063,Overweight,Male,Pescatarian,No,Private,Diesel,Rarely,Large,1,No,15,15,127.56,315,162,0.4,604.96
4250,Petrol,966,Normal,Male,Omnivore,Often,Walk/Bicycle,Electric,Very Frequently,Small,2,Yes,19,24,185.955,399,225,0.8,810.755
4251,Petrol,1098,Overweight,Female,Omnivore,No,Private,Petrol,Never,Small,5,No,20,26,211.365,420,225,2,858.365
4252,Diesel,2144,Obese,Male,Vegetarian,Never,Walk/Bicycle,Diesel,Frequently,Small,1,No,0,25,383.0613333,0,108,0.4,491.4613333
4253,Petrol,1491,Normal,Male,Vegetarian,Never,Private,Electric,Frequently,Extra Large,2,Yes,19,22,287.0175,399,108,0.8,794.8175
4254,Diesel,2432,Overweight,Male,Omnivore,No,Private,Electric,Rarely,Extra Large,0,No,12,28,434.5173333,252,225,0,911.5173333
4255,CNG,2795,Overweight,Male,Omnivore,No,Public,Diesel,Frequently,Small,3,Yes,3,16,377.325,63,225,1.2,666.525
4256,CNG,2104,Normal,Female,Vegan,Never,Walk/Bicycle,Electric,Rarely,Extra Large,5,No,11,27,284.04,231,63,2,580.04
4257,Diesel,566,Overweight,Female,Vegan,No,Walk/Bicycle,CNG,Rarely,Medium,0,No,14,17,101.1253333,294,63,0,458.1253333
4258,Diesel,969,Obese,Female,Pescatarian,No,Walk/Bicycle,CNG,Never,Small,0,No,19,19,173.128,399,162,0,734.128
4259,Electric,2224,Underweight,Male,Pescatarian,No,Walk/Bicycle,Petrol,Never,Small,7,No,11,25,266.88,231,162,2.8,662.68
4260,Electric,2833,Obese,Female,Vegan,Often,Public,Electric,Never,Medium,6,No,18,8,339.96,378,63,2.4,783.36
4261,Electric,2131,Overweight,Female,Omnivore,Often,Public,Electric,Very Frequently,Extra Large,6,Yes,18,10,255.72,378,225,2.4,861.12
4262,CNG,2859,Underweight,Male,Vegetarian,Often,Walk/Bicycle,Diesel,Never,Small,6,No,14,1,385.965,294,108,2.4,790.365
4263,Electric,2856,Normal,Female,Pescatarian,No,Private,CNG,Rarely,Medium,4,No,20,13,342.72,420,162,1.6,926.32
4264,Petrol,1274,Obese,Female,Omnivore,Never,Public,None,Never,Large,3,No,4,14,245.245,84,225,1.2,555.445
4265,Petrol,1636,Normal,Female,Vegetarian,No,Private,Petrol,Very Frequently,Medium,6,Yes,10,0,314.93,210,108,2.4,635.33
4266,Electric,2511,Underweight,Male,Vegetarian,No,Private,CNG,Never,Small,2,Yes,17,0,301.32,357,108,0.8,767.12
4267,Petrol,1986,Overweight,Female,Omnivore,Often,Private,Diesel,Frequently,Medium,8,No,9,8,382.305,189,225,3.2,799.505
4268,CNG,631,Underweight,Female,Omnivore,Never,Walk/Bicycle,Petrol,Rarely,Extra Large,1,No,12,11,85.185,252,225,0.4,562.585
4269,Petrol,1429,Underweight,Female,Pescatarian,Often,Public,None,Frequently,Small,0,No,18,16,275.0825,378,162,0,815.0825
4270,CNG,1428,Normal,Male,Vegan,Never,Walk/Bicycle,Petrol,Frequently,Small,7,No,19,14,192.78,399,63,2.8,657.58
4271,Diesel,2668,Obese,Male,Omnivore,No,Private,CNG,Very Frequently,Extra Large,5,No,14,3,476.6826667,294,225,2,997.6826667
4272,Diesel,1720,Underweight,Female,Vegan,No,Walk/Bicycle,None,Frequently,Extra Large,3,No,17,4,307.3066667,357,63,1.2,728.5066667
4273,Diesel,2005,Overweight,Female,Pescatarian,No,Private,Diesel,Never,Extra Large,9,No,7,13,358.2266667,147,162,3.6,670.8266667
4274,Diesel,1133,Underweight,Female,Vegan,Never,Walk/Bicycle,Petrol,Rarely,Large,8,Yes,22,5,202.4293333,462,63,3.2,730.6293333
4275,Petrol,1562,Normal,Male,Vegan,Often,Walk/Bicycle,CNG,Frequently,Small,4,No,2,5,300.685,42,63,1.6,407.285
4276,Electric,1684,Obese,Male,Vegetarian,Often,Public,Diesel,Frequently,Small,0,No,10,18,202.08,210,108,0,520.08
4277,Petrol,788,Overweight,Female,Pescatarian,Often,Public,None,Rarely,Small,0,No,4,22,151.69,84,162,0,397.69
4278,CNG,2747,Normal,Female,Omnivore,Never,Private,Petrol,Never,Medium,6,No,11,29,370.845,231,225,2.4,829.245
4279,Petrol,2311,Underweight,Male,Vegan,Never,Private,Electric,Frequently,Small,0,No,0,23,444.8675,0,63,0,507.8675
4280,Petrol,1027,Underweight,Male,Pescatarian,No,Private,CNG,Rarely,Small,5,No,5,0,197.6975,105,162,2,466.6975
4281,CNG,1416,Obese,Female,Vegetarian,Often,Walk/Bicycle,CNG,Never,Extra Large,6,Yes,5,28,191.16,105,108,2.4,406.56
4282,Diesel,2208,Normal,Male,Vegetarian,Never,Private,Electric,Never,Extra Large,9,No,11,8,394.496,231,108,3.6,737.096
4283,Diesel,1906,Normal,Female,Vegan,Often,Public,Diesel,Never,Extra Large,4,No,20,28,340.5386667,420,63,1.6,825.1386667
4284,Diesel,1741,Obese,Female,Vegan,Often,Private,CNG,Very Frequently,Small,2,No,14,21,311.0586667,294,63,0.8,668.8586667
4285,Electric,1610,Overweight,Male,Omnivore,Never,Private,Diesel,Never,Extra Large,2,Yes,3,0,193.2,63,225,0.8,482
4286,CNG,1298,Normal,Female,Pescatarian,Never,Walk/Bicycle,None,Never,Large,1,Yes,17,26,175.23,357,162,0.4,694.63
4287,CNG,2023,Obese,Female,Omnivore,No,Public,Electric,Rarely,Extra Large,0,No,11,24,273.105,231,225,0,729.105
4288,Petrol,511,Normal,Female,Omnivore,No,Private,Diesel,Very Frequently,Large,7,No,6,3,98.3675,126,225,2.8,452.1675
4289,Electric,1332,Obese,Female,Vegetarian,No,Public,None,Never,Medium,8,No,4,24,159.84,84,108,3.2,355.04
4290,Diesel,1741,Underweight,Female,Pescatarian,Often,Private,Petrol,Frequently,Large,1,Yes,22,15,311.0586667,462,162,0.4,935.4586667
4291,Electric,2172,Underweight,Female,Omnivore,Often,Public,CNG,Very Frequently,Large,3,No,22,25,260.64,462,225,1.2,948.84
4292,CNG,2653,Normal,Female,Vegetarian,No,Private,Electric,Rarely,Medium,2,No,22,27,358.155,462,108,0.8,928.955
4293,CNG,1190,Normal,Male,Vegan,Often,Private,Petrol,Very Frequently,Large,3,No,2,4,160.65,42,63,1.2,266.85
4294,Petrol,1027,Underweight,Male,Omnivore,Often,Walk/Bicycle,Petrol,Frequently,Small,3,No,4,15,197.6975,84,225,1.2,507.8975
4295,Petrol,1995,Overweight,Female,Vegan,Often,Walk/Bicycle,Petrol,Very Frequently,Small,7,No,16,21,384.0375,336,63,2.8,785.8375
4296,CNG,1392,Obese,Male,Pescatarian,Often,Public,Diesel,Frequently,Extra Large,2,No,5,13,187.92,105,162,0.8,455.72
4297,Diesel,886,Overweight,Female,Omnivore,Never,Public,CNG,Never,Extra Large,2,No,19,8,158.2986667,399,225,0.8,783.0986667
4298,Diesel,1749,Overweight,Female,Vegan,Never,Public,Electric,Never,Extra Large,5,Yes,1,13,312.488,21,63,2,398.488
4299,Electric,2277,Overweight,Male,Vegan,No,Public,CNG,Very Frequently,Extra Large,2,Yes,18,15,273.24,378,63,0.8,715.04
4300,CNG,907,Underweight,Female,Pescatarian,No,Walk/Bicycle,CNG,Very Frequently,Small,4,No,14,29,122.445,294,162,1.6,580.045
4301,CNG,2176,Normal,Female,Vegetarian,Often,Public,CNG,Rarely,Extra Large,3,No,2,5,293.76,42,108,1.2,444.96
4302,Diesel,1397,Overweight,Male,Vegetarian,Often,Private,None,Rarely,Large,3,No,0,16,249.5973333,0,108,1.2,358.7973333
4303,Diesel,1210,Underweight,Male,Omnivore,Never,Private,None,Frequently,Medium,1,No,22,0,216.1866667,462,225,0.4,903.5866667
4304,CNG,2182,Obese,Male,Vegan,Often,Private,None,Never,Large,8,No,18,17,294.57,378,63,3.2,738.77
4305,Petrol,1417,Normal,Male,Vegetarian,Often,Walk/Bicycle,None,Very Frequently,Medium,4,No,6,10,272.7725,126,108,1.6,508.3725
4306,CNG,2750,Obese,Male,Omnivore,No,Public,CNG,Never,Small,4,No,9,10,371.25,189,225,1.6,786.85
4307,CNG,916,Overweight,Male,Vegan,Often,Private,CNG,Very Frequently,Medium,6,Yes,8,27,123.66,168,63,2.4,357.06
4308,Diesel,915,Normal,Female,Omnivore,Never,Private,Electric,Frequently,Extra Large,2,No,15,11,163.48,315,225,0.8,704.28
4309,Diesel,1971,Overweight,Male,Pescatarian,Often,Walk/Bicycle,Electric,Never,Small,5,No,14,1,352.152,294,162,2,810.152
4310,Petrol,2035,Normal,Male,Omnivore,Often,Walk/Bicycle,Electric,Rarely,Extra Large,0,Yes,12,15,391.7375,252,225,0,868.7375
4311,Petrol,584,Overweight,Female,Pescatarian,Often,Walk/Bicycle,Electric,Frequently,Large,4,Yes,21,21,112.42,441,162,1.6,717.02
4312,Electric,666,Obese,Female,Vegan,Often,Private,Electric,Never,Large,4,No,7,9,79.92,147,63,1.6,291.52
4313,CNG,2931,Obese,Male,Vegan,Often,Walk/Bicycle,None,Frequently,Extra Large,8,No,10,25,395.685,210,63,3.2,671.885
4314,Diesel,1595,Overweight,Female,Vegan,Never,Private,CNG,Very Frequently,Medium,4,Yes,0,20,284.9733333,0,63,1.6,349.5733333
4315,Petrol,1309,Normal,Female,Omnivore,No,Public,Electric,Never,Large,7,Yes,23,13,251.9825,483,225,2.8,962.7825
4316,Electric,2044,Obese,Female,Vegan,Often,Private,Diesel,Never,Medium,2,No,7,29,245.28,147,63,0.8,456.08
4317,Electric,2316,Normal,Female,Vegan,No,Public,Electric,Never,Large,5,Yes,11,6,277.92,231,63,2,573.92
4318,Diesel,1492,Normal,Female,Pescatarian,No,Private,Electric,Rarely,Extra Large,1,No,18,7,266.5706667,378,162,0.4,806.9706667
4319,Diesel,1781,Obese,Female,Vegan,Never,Public,CNG,Frequently,Extra Large,8,Yes,5,25,318.2053333,105,63,3.2,489.4053333
